Quantidade,Sensor
318, Sensor 1: 6.61
319, Sensor 2: 4.32
320, Sensor 1: 6.61
321, Sensor 2: 4.46
322, Sensor 1: 6.48
323, Sensor 2: 4.32
324, Sensor 1: 6.75
325, Sensor 2: 4.46
326, Sensor 1: 6.61
327, Sensor 2: 4.46
328, Sensor 1: 6.75
329, Sensor 2: 4.46
330, Sensor 1: 6.75
331, Sensor 2: 4.46
332, Sensor 1: 6.75
333, Sensor 2: 4.46
334, Sensor 1: 6.75
335, Sensor 2: 4.46
336, Sensor 1: 6.89
337, Sensor 2: 4.59
338, Sensor 1: 6.75
339, Sensor 2: 4.59
340, Sensor 1: 6.75
341, Sensor 2: 4.46
342, Sensor 1: 6.75
343, Sensor 2: 4.46
344, Sensor 1: 6.75
345, Sensor 2: 4.59
346, Sensor 1: 6.89
347, Sensor 2: 4.46
348, Sensor 1: 6.75
349, Sensor 2: 4.46
350, Sensor 1: 6.89
351, Sensor 2: 4.59
352, Sensor 1: 6.75
353, Sensor 2: 4.59
354, Sensor 1: 6.89
355, Sensor 2: 4.46
356, Sensor 1: 6.75
357, Sensor 2: 4.46
358, Sensor 1: 6.89
359, Sensor 2: 4.32
360, Sensor 1: 6.75
361, Sensor 2: 4.46
362, Sensor 1: 6.89
363, Sensor 2: 4.32
364, Sensor 1: 6.75
365, Sensor 2: 4.46
366, Sensor 1: 6.75
367, Sensor 2: 4.32
368, Sensor 1: 6.75
369, Sensor 2: 4.32
370, Sensor 1: 6.75
371, Sensor 2: 4.32
372, Sensor 1: 6.61
373, Sensor 2: 4.32
374, Sensor 1: 6.75
375, Sensor 2: 4.32
376, Sensor 1: 6.75
377, Sensor 2: 4.32
378, Sensor 1: 6.61
379, Sensor 2: 4.46
380, Sensor 1: 6.75
381, Sensor 2: 4.46
382, Sensor 1: 6.61
383, Sensor 2: 4.46
384, Sensor 1: 6.75
385, Sensor 2: 4.32
386, Sensor 1: 6.61
387, Sensor 2: 4.46
388, Sensor 1: 6.61
389, Sensor 2: 4.46
390, Sensor 1: 6.61
391, Sensor 2: 4.32
392, Sensor 1: 6.61
393, Sensor 2: 4.32
394, Sensor 1: 6.61
395, Sensor 2: 4.46
396, Sensor 1: 6.61
397, Sensor 2: 4.46
398, Sensor 1: 6.61
399, Sensor 2: 4.32
400, Sensor 1: 6.61
401, Sensor 2: 4.46
402, Sensor 1: 6.61
403, Sensor 2: 4.46
404, Sensor 1: 6.75
405, Sensor 2: 4.46
406, Sensor 1: 6.75
407, Sensor 2: 4.46
408, Sensor 1: 6.75
409, Sensor 2: 4.46
410, Sensor 1: 6.75
411, Sensor 2: 4.46
412, Sensor 1: 6.75
413, Sensor 2: 4.46
414, Sensor 1: 6.89
415, Sensor 2: 4.32
416, Sensor 1: 6.75
417, Sensor 2: 4.46
418, Sensor 1: 6.89
419, Sensor 2: 4.19
420, Sensor 1: 6.89
421, Sensor 2: 4.19
422, Sensor 1: 6.89
423, Sensor 2: 4.32
424, Sensor 1: 6.89
425, Sensor 2: 4.19
426, Sensor 1: 6.89
427, Sensor 2: 4.05
428, Sensor 1: 6.89
429, Sensor 2: 4.32
430, Sensor 1: 6.75
431, Sensor 2: 4.19
432, Sensor 1: 6.89
433, Sensor 2: 4.32
434, Sensor 1: 6.89
435, Sensor 2: 4.32
436, Sensor 1: 6.89
437, Sensor 2: 4.32
438, Sensor 1: 6.75
439, Sensor 2: 4.32
440, Sensor 1: 6.89
441, Sensor 2: 4.32
442, Sensor 1: 6.75
443, Sensor 2: 4.32
444, Sensor 1: 6.75
445, Sensor 2: 4.19
446, Sensor 1: 6.75
447, Sensor 2: 4.05
448, Sensor 1: 6.75
449, Sensor 2: 3.92
450, Sensor 1: 6.61
451, Sensor 2: 3.92
452, Sensor 1: 6.75
453, Sensor 2: 4.05
454, Sensor 1: 6.61
