Quantidade,Sensor,mL
461,Sensor 2,3.92
462,Sensor 1,7.70
463,Sensor 2,4.05
464,Sensor 1,7.70
465,Sensor 2,3.78
466,Sensor 1,7.70
467,Sensor 2,3.92
468,Sensor 1,7.70
469,Sensor 2,3.92
470,Sensor 1,7.70
471,Sensor 2,3.92
472,Sensor 1,7.56
473,Sensor 2,3.92
474,Sensor 1,7.70
475,Sensor 2,4.05
476,Sensor 1,7.70
477,Sensor 2,3.92
478,Sensor 1,7.70
479,Sensor 2,4.05
480,Sensor 1,7.56
481,Sensor 2,3.92
482,Sensor 1,7.70
483,Sensor 2,4.05
484,Sensor 1,7.70
485,Sensor 2,3.92
486,Sensor 1,7.70
487,Sensor 2,4.05
488,Sensor 1,7.56
489,Sensor 2,3.92
490,Sensor 1,7.70
491,Sensor 2,3.92
492,Sensor 1,7.56
493,Sensor 2,4.05
494,Sensor 1,7.70
495,Sensor 2,3.92
496,Sensor 1,7.70
497,Sensor 2,4.05
498,Sensor 1,7.70
499,Sensor 2,4.05
500,Sensor 1,7.83
501,Sensor 2,3.78
